,step,loss,depth,machine
0,1,10.32828140258789,44,K80
1,2,7.779324531555176,44,K80
2,3,8.202950477600098,44,K80
3,4,5.19336462020874,44,K80
4,5,4.919810771942139,44,K80
5,6,4.130299091339111,44,K80
6,7,3.9402294158935547,44,K80
7,8,3.5556135177612305,44,K80
8,9,2.7937800884246826,44,K80
9,10,3.1889774799346924,44,K80
10,11,3.3038406372070312,44,K80
11,12,2.706885814666748,44,K80
12,13,2.6843912601470947,44,K80
13,14,3.0273425579071045,44,K80
14,15,2.6501426696777344,44,K80
15,16,2.533839702606201,44,K80
16,17,2.9887990951538086,44,K80
17,18,2.5238161087036133,44,K80
18,19,2.576643943786621,44,K80
19,20,2.4146223068237305,44,K80
20,21,2.3608222007751465,44,K80
21,22,2.4149675369262695,44,K80
22,23,2.407177686691284,44,K80
23,24,2.5582427978515625,44,K80
24,25,2.402397871017456,44,K80
25,26,2.58798885345459,44,K80
26,27,2.195878505706787,44,K80
27,28,2.1837711334228516,44,K80
28,29,2.2697014808654785,44,K80
29,30,2.1237313747406006,44,K80
30,31,2.346351146697998,44,K80
31,32,2.2424678802490234,44,K80
32,33,2.2544920444488525,44,K80
33,34,2.147451877593994,44,K80
34,35,2.344501495361328,44,K80
35,36,2.0720958709716797,44,K80
36,37,2.1802048683166504,44,K80
37,38,2.1385796070098877,44,K80
38,39,2.308065414428711,44,K80
39,40,2.121060609817505,44,K80
40,41,2.1500933170318604,44,K80
41,42,2.1583964824676514,44,K80
42,43,2.1531786918640137,44,K80
43,44,2.0648257732391357,44,K80
44,45,2.0709662437438965,44,K80
45,46,2.366835355758667,44,K80
46,47,1.9931151866912842,44,K80
47,48,2.353529214859009,44,K80
48,49,1.9875993728637695,44,K80
49,50,2.152224063873291,44,K80
50,51,2.1035215854644775,44,K80
51,52,2.2712206840515137,44,K80
52,53,2.165923833847046,44,K80
53,54,2.0458076000213623,44,K80
54,55,2.0957183837890625,44,K80
55,56,2.2341983318328857,44,K80
56,57,2.0559253692626953,44,K80
57,58,2.1764707565307617,44,K80
58,59,2.1549460887908936,44,K80
59,60,2.1294620037078857,44,K80
60,61,2.0288219451904297,44,K80
61,62,2.0326709747314453,44,K80
62,63,2.0690410137176514,44,K80
63,64,2.0602054595947266,44,K80
64,65,1.9272279739379883,44,K80
65,66,2.089965343475342,44,K80
66,67,2.1269776821136475,44,K80
67,68,2.0979456901550293,44,K80
68,69,2.0577993392944336,44,K80
69,70,1.9574370384216309,44,K80
70,71,2.024388551712036,44,K80
71,72,2.195111036300659,44,K80
72,73,2.085390329360962,44,K80
73,74,2.0992984771728516,44,K80
74,75,1.9677236080169678,44,K80
75,76,1.9299081563949585,44,K80
76,77,2.139399290084839,44,K80
77,78,2.0980865955352783,44,K80
78,79,2.0412657260894775,44,K80
79,80,2.0932607650756836,44,K80
80,81,2.0194926261901855,44,K80
81,82,1.9812109470367432,44,K80
82,83,2.2013440132141113,44,K80
83,84,2.1067590713500977,44,K80
84,85,1.945259928703308,44,K80
85,86,2.2179489135742188,44,K80
86,87,2.048908233642578,44,K80
87,88,1.9848973751068115,44,K80
88,89,1.8378790616989136,44,K80
89,90,1.9872320890426636,44,K80
90,91,2.0349950790405273,44,K80
91,92,1.9016361236572266,44,K80
92,93,2.103849411010742,44,K80
93,94,2.0215961933135986,44,K80
94,95,1.9341403245925903,44,K80
95,96,2.0381107330322266,44,K80
96,97,2.181791305541992,44,K80
97,98,1.8798092603683472,44,K80
98,99,2.1692559719085693,44,K80
99,100,1.9594913721084595,44,K80
100,101,1.938181757926941,44,K80
101,102,2.125819683074951,44,K80
102,103,1.8601726293563843,44,K80
103,104,1.9527653455734253,44,K80
104,105,1.899461030960083,44,K80
105,106,1.8892086744308472,44,K80
106,107,1.9562500715255737,44,K80
107,108,2.035248279571533,44,K80
108,109,1.9931704998016357,44,K80
109,110,1.992051362991333,44,K80
110,111,1.9024778604507446,44,K80
111,112,2.008814811706543,44,K80
112,113,1.9277911186218262,44,K80
113,114,2.033202886581421,44,K80
114,115,1.9318885803222656,44,K80
115,116,1.9403836727142334,44,K80
116,117,1.8868740797042847,44,K80
117,118,1.8645493984222412,44,K80
118,119,2.0153744220733643,44,K80
119,120,1.756980299949646,44,K80
120,121,1.975419521331787,44,K80
121,122,1.9120548963546753,44,K80
122,123,1.797654390335083,44,K80
123,124,1.9248336553573608,44,K80
124,125,1.8320297002792358,44,K80
125,126,1.8352960348129272,44,K80
126,127,1.8327631950378418,44,K80
127,128,1.9387648105621338,44,K80
128,129,1.9251213073730469,44,K80
129,130,2.034559726715088,44,K80
130,131,1.9673280715942383,44,K80
131,132,1.7707979679107666,44,K80
132,133,1.768498182296753,44,K80
133,134,2.0061028003692627,44,K80
134,135,1.7730357646942139,44,K80
135,136,1.8654160499572754,44,K80
136,137,1.8705774545669556,44,K80
137,138,2.043609142303467,44,K80
138,139,1.7976338863372803,44,K80
139,140,1.6375694274902344,44,K80
140,141,1.7873178720474243,44,K80
141,142,1.833561658859253,44,K80
142,143,1.773467779159546,44,K80
143,144,1.9669466018676758,44,K80
144,145,1.8124759197235107,44,K80
145,146,1.9096747636795044,44,K80
146,147,1.9034903049468994,44,K80
147,148,1.8282737731933594,44,K80
148,149,1.8201656341552734,44,K80
149,150,1.7961184978485107,44,K80
150,151,1.8207141160964966,44,K80
151,152,1.8379147052764893,44,K80
152,153,1.7435150146484375,44,K80
153,154,2.08027982711792,44,K80
154,155,1.8866651058197021,44,K80
155,156,1.713667392730713,44,K80
156,157,1.8557305335998535,44,K80
157,158,1.9168503284454346,44,K80
158,159,1.7716560363769531,44,K80
