,depth,loss,machine,step
0,50,9.129212379455566,P100,1
1,50,7.106353282928467,P100,2
2,50,4.727274417877197,P100,3
3,50,4.198726177215576,P100,4
4,50,3.6544840335845947,P100,5
5,50,3.5132899284362793,P100,6
6,50,3.111046314239502,P100,7
7,50,3.4450292587280273,P100,8
8,50,3.9609580039978027,P100,9
9,50,3.1382834911346436,P100,10
10,50,2.8160240650177,P100,11
11,50,2.9473373889923096,P100,12
12,50,2.9935226440429688,P100,13
13,50,2.8149092197418213,P100,14
14,50,2.626809597015381,P100,15
15,50,2.810041666030884,P100,16
16,50,2.702636480331421,P100,17
17,50,2.5512425899505615,P100,18
18,50,2.6721246242523193,P100,19
19,50,2.4645681381225586,P100,20
20,50,2.5799355506896973,P100,21
21,50,2.430487871170044,P100,22
22,50,2.4754416942596436,P100,23
23,50,2.4278345108032227,P100,24
24,50,2.6656265258789062,P100,25
25,50,2.420222759246826,P100,26
26,50,2.4019927978515625,P100,27
27,50,2.533292770385742,P100,28
28,50,2.406341075897217,P100,29
29,50,2.3943333625793457,P100,30
30,50,2.371809959411621,P100,31
31,50,2.415426254272461,P100,32
32,50,2.3923254013061523,P100,33
33,50,2.273791551589966,P100,34
34,50,2.3506953716278076,P100,35
35,50,2.282193422317505,P100,36
36,50,2.3483245372772217,P100,37
37,50,2.42874813079834,P100,38
38,50,2.3860230445861816,P100,39
39,50,2.436729907989502,P100,40
40,50,2.137329578399658,P100,41
41,50,2.298314094543457,P100,42
42,50,2.267110586166382,P100,43
43,50,2.297947406768799,P100,44
44,50,2.3816773891448975,P100,45
45,50,2.391416549682617,P100,46
46,50,2.4693877696990967,P100,47
47,50,2.231685161590576,P100,48
48,50,2.3049464225769043,P100,49
49,50,2.414081573486328,P100,50
50,50,2.1697638034820557,P100,51
51,50,2.4051382541656494,P100,52
52,50,2.1209402084350586,P100,53
53,50,2.219637393951416,P100,54
54,50,2.151792287826538,P100,55
55,50,2.457332134246826,P100,56
56,50,2.2348852157592773,P100,57
57,50,2.1604413986206055,P100,58
58,50,2.190962553024292,P100,59
59,50,2.375709056854248,P100,60
60,50,2.148103952407837,P100,61
61,50,2.1473984718322754,P100,62
62,50,2.3696389198303223,P100,63
63,50,2.198572874069214,P100,64
64,50,2.2077462673187256,P100,65
65,50,2.15324330329895,P100,66
66,50,2.0559604167938232,P100,67
67,50,2.1129536628723145,P100,68
68,50,2.2522456645965576,P100,69
69,50,2.156581163406372,P100,70
70,50,2.013517379760742,P100,71
71,50,2.014267921447754,P100,72
72,50,2.0595812797546387,P100,73
73,50,2.0798072814941406,P100,74
74,50,2.232656717300415,P100,75
75,50,2.01602840423584,P100,76
76,50,2.0483474731445312,P100,77
77,50,2.1579430103302,P100,78
78,50,2.1773808002471924,P100,79
79,50,2.0681240558624268,P100,80
80,50,1.9861528873443604,P100,81
81,50,2.1299262046813965,P100,82
82,50,2.1780824661254883,P100,83
83,50,2.156670093536377,P100,84
84,50,2.1287553310394287,P100,85
85,50,2.1623196601867676,P100,86
